city,lat,lng
کراچی,24.86,67.01
لاہور,31.56,74.35
فیصل آباد,31.41,73.11
راولپنڈی,33.59,73.05
گوجرانوالہ,32.15,74.19
پشاور,34.01,71.54
ملتان,30.2,71.45
حیدرآباد,25.38,68.37
اسلام آباد,33.69,73.03
کوئٹہ,30.21,67.02
بہاولپور,29.39,71.67
سرگودھا,32.08,72.67
سیالکوٹ,32.52,74.55
سکھر,27.7,68.85
لاڑکانہ,27.56,68.21
رحیم یار خان,28.42,70.3
شیخوپورہ,31.72,73.98
جھنگ صدر,31.28,72.32
جھنگ,31.28,72.32
تلہ گنگ,32.92,72.41
ڈیرہ غازی خان,30.06,70.64
گجرات,32.58,74.07
ساہیوال,31.98,72.33
مردان,34.2,72.04
قصور,31.12,74.45
اوکاڑہ,30.81,73.45
منگورا,34.78,72.36
نوابشاہ,26.24,68.4
چنیوٹ,31.72,72.98
کامونکی,31.97,74.22
حافظ آباد,32.07,73.68
صادق آباد,28.3,70.13
میرپور خاص,25.53,69.01
بورے والا,30.16,72.67
کوہاٹ,33.6,71.44
خانیوال,30.31,71.82
ڈیرہ اسماعیل خان,31.83,70.9
تربت,25.99,63.07
مظفر گڑھ,30.07,71.18
منڈی بہاؤالدین,32.59,73.48
شکار پور,27.96,68.64
جیکب آباد,28.28,68.43
جہلم,32.94,73.72
خانپور,27.28,68.5
خیرپور,28.05,69.7
خضدار,27.8,66.6
پاکپتن,30.35,73.38
حب,25.03,66.88
ڈسکہ,32.33,74.36
دادو,26.73,67.77
مریدکے,31.81,74.25
بہاولنگر,30.0,73.25
سمندری,31.11,72.8
ٹنڈو اللہ یار,25.46,68.72
ٹنڈوآدم,25.76,68.66
جڑانوالہ,31.34,73.41
چشتیاں منڈی,29.79,72.84
مظفرآباد,34.35,73.48
اٹک,33.78,72.36
وہاری,30.05,72.34
کوٹ ملک,31.06,74.39
فیروز والا,29.02,71.88
چکوال,32.93,72.85
کمالیہ,30.73,72.64
احمد پور ایسٹ,29.15,71.26
عمرکوٹ,25.37,69.73
وزیرآباد,32.45,74.1
مانسہرہ,34.34,73.2
صوابی,34.13,72.47
چمن,30.92,66.44
نوشہرہ,32.14,75.18
خوشاب,32.3,72.34
شہداد کوٹ,27.85,67.9
میانوالی,32.59,71.54
لودھراں,29.54,71.63
بھکر,31.63,71.06
بدین,24.66,68.84
عارف والا,30.3,73.07
گھوٹکی,28.01,69.32
سمبڑیال,32.48,74.34
ہارون آباد,29.61,73.14
ڈہرکی,28.05,69.7
نارووال,32.11,74.87
ٹنڈو محمد خان,25.12,68.53
کھنڈ کوٹ,28.24,69.18
گوجرہ,31.15,72.69
بھلوال,32.27,72.9
ایبٹ آباد,34.15,73.2
لائل پور,31.41,73.11
کوٹ ادو,30.46,70.97
چارسدہ,34.16,71.73
حاصل پور,29.71,72.55
قمبر,27.59,67.99
مورو,26.67,67.99
جلال پور جٹاں,32.64,74.2
دیپالپور,30.67,73.66
چیچہ وطنی,30.53,72.68
کھاریاں,32.81,73.89
میاں چنوں,30.44,72.34
جھوٹ,30.97,70.93
سبی,29.55,67.87
پتوکی,31.03,73.85
شبقدر,34.22,71.57
بائی پھیرو,31.2,73.95
گوجر خان,33.26,73.3
کہروڑ پکا,29.62,71.91
چوہڑ کانا,31.75,73.82
ٹوبہ ٹیک سنگھ,30.97,72.47
حویلی,30.46,73.7
حویلی لکھا وسیلہ,30.46,73.7
شکر گڑھ,32.26,75.15
شہدادپور,25.92,68.61
جام پور,29.64,70.59
کبیر والا,30.4,71.87
سانگھڑ,26.05,68.93
حجرہ شاہ مقیم,30.75,73.82
شورکوٹ,31.9,70.86
شجاع آباد,29.88,71.29
میلسی,29.8,72.18
لالموسا,32.7,73.96
چونیاں,30.97,73.97
پنو عاقل,27.86,69.1
سانگلہ ہل,31.72,73.37
ننکانہ صاحب,31.45,73.69
پسرور,32.27,74.65
ہڈالی,32.64,74.57
علی پور چٹھہ,32.27,73.81
ژوب,31.35,69.44
روہڑی,27.68,68.89
ربوہ,31.83,72.82
قلعہ دیسر سنگھ,32.11,73.92
قلعہ دیوان سنگھ,30.81,73.88
جتوئی,29.51,70.84
شاہ کوٹ,31.57,73.48
عبد الحکیم,30.55,72.11
ناگرہ,29.02,71.88
مصطفی آباد,31.55,74.36
دینا,33.03,73.6
تخت بھائی,34.28,71.93
حسن ابدال,30.43,72.7
بنوں,32.99,70.6
ایڈورڈس آباد,32.99,70.6
کوٹ رادھا کشن,31.17,74.1
حویلیاں,34.05,73.17
ہری پور,34.02,72.92
سرائے عالمگیر,32.9,73.75
نوشہرہ ورکاں,31.97,73.98
تیمرگرہ,34.83,71.84
بصیر پور,30.58,73.83
گوادر,25.14,62.33
ڈنگہ,32.64,73.72
جہانگیرہ,34.02,73.13
خلابت,34.04,72.88
ماتلی,25.05,68.65
ٹینک,32.21,70.38
رسالپور,34.07,71.99
میرپور ماتھیلو,28.03,69.54
راجن پور,29.1,70.32
